Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
97;22222;"Parliamentary Affairs";journal;"14602482, 00312290";0,600;Q1;49;33;166;1398;256;166;1,41;42,36;United Kingdom;Western Europe;"Oxford University Press";"1947-2022";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
98;21100298645;"Journal of Crime and Justice";journal;"21589119, 0735648X";0,599;Q1;32;55;118;3566;230;116;1,56;64,84;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1984-2022";"Law (Q1)";"Social Sciences"
99;4700152205;"Criminology and Criminal Justice";journal;"17488966, 17488958";0,596;Q1;55;110;117;6548;293;113;2,02;59,53;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2003, 2006-2022";"Law (Q1)";"Social Sciences"
100;100147035;"Criminal Justice Review";journal;"15563839, 07340168";0,590;Q1;41;52;81;3242;161;77;1,30;62,35;United States;Northern America;"SAGE Publications Inc.";"1976-2022";"Law (Q1)";"Social Sciences"
101;25050;"American Journal of International Law";journal;"00029300";0,588;Q1;83;52;129;1089;171;128;1,35;20,94;United States;Northern America;"Cambridge University Press";"1937, 1979, 1984, 1987, 1996-2022";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
102;17504;"Social and Legal Studies";journal;"09646639, 14617390";0,588;Q1;47;59;116;3982;236;114;1,86;67,49;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2022";"Law (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
103;14045;"Psychology, Public Policy, and Law";journal;"10768971";0,585;Q1;72;47;113;3575;294;108;2,38;76,06;United States;Northern America;"American Psychological Association";"1995-2022";"Law (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)";"Psychology; Social Sciences"
104;12100155627;"Trends in Organized Crime";journal;"10844791, 19364830";0,585;Q1;31;48;72;2834;204;72;2,51;59,04;United States;Northern America;"Springer US";"1995-2002, 2004-2022";"Law (Q1)";"Social Sciences"
105;21100817648;"Race and Justice";journal;"21533687";0,577;Q1;19;60;96;3884;200;92;2,18;64,73;United States;Northern America;"SAGE Publications Inc.";"2011-2022";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
106;5600153394;"International Criminal Justice Review";journal;"10575677";0,575;Q1;29;31;68;2184;149;62;2,42;70,45;United States;Northern America;"SAGE Publications Inc.";"1991-2003, 2005-2022";"Law (Q1)";"Social Sciences"
107;19700188322;"Journal of Human Rights";journal;"14754843, 14754835";0,575;Q1;23;58;118;3545;204;114;1,90;61,12;United Kingdom;Western Europe;"Carfax Publishers";"2010-2022";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
108;17585;"Law and Social Inquiry";journal;"1545696X, 08976546";0,575;Q1;54;63;149;4566;209;149;1,49;72,48;United States;Northern America;"Wiley-Blackwell";"1976-2022";"Law (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
109;12123;"Behavioral Sciences and the Law";journal;"10990798, 07353936";0,570;Q1;80;50;139;3888;303;137;1,44;77,76;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1983-2022";"Law (Q1); Clinical Psychology (Q2); Medicine (miscellaneous) (Q2); Psychiatry and Mental Health (Q3)";"Medicine; Psychology; Social Sciences"
110;14293;"Deviant Behavior";journal;"15210456, 01639625";0,569;Q1;62;124;326;8352;652;325;1,90;67,35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1979-2022";"Law (Q1); Sociology and Political Science (Q1); Clinical Psychology (Q2); Social Psychology (Q2)";"Psychology; Social Sciences"
111;21519;"Police Journal";journal;"17405599, 0032258X";0,565;Q1;18;80;69;4215;159;69;1,96;52,69;United Kingdom;Western Europe;"Vathek Publishing";"1974-1986, 2002-2022";"Law (Q1)";"Social Sciences"
112;5700164129;"Criminal Justice Studies";journal;"14786028, 1478601X";0,563;Q1;23;24;76;1384;139;73;1,80;57,67;United Kingdom;Western Europe;"Routledge";"2007-2022";"Law (Q1)";"Social Sciences"
113;144977;"Homicide Studies";journal;"10887679";0,563;Q1;51;45;62;2574;138;59;1,72;57,20;United States;Northern America;"SAGE Publications Inc.";"1997-2022";"Law (Q1); Pathology and Forensic Medicine (Q2); Psychology (miscellaneous) (Q2)";"Medicine; Psychology; Social Sciences"
114;16300154766;"Crime, Media, Culture";journal;"17416590, 17416604";0,562;Q1;43;46;80;2920;170;68;2,00;63,48;United Kingdom;Western Europe;"SAGE Publications Ltd";"2005-2022";"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Law (Q1)";"Arts and Humanities; Social Sciences"
115;5600157637;"European Journal of Criminology";journal;"14773708";0,560;Q1;59;113;173;7637;393;169;2,13;67,58;United States;Northern America;"SAGE Publications Inc.";"2004-2022";"Law (Q1)";"Social Sciences"
116;4700152463;"International Journal of Constitutional Law";journal;"14742659, 14742640";0,560;Q1;43;46;224;1325;183;214;0,62;28,80;United Kingdom;Western Europe;"Oxford University Press";"2005-2022";"Law (Q1)";"Social Sciences"
117;19400158595;"World Trade Review";journal;"14747456, 14753138";0,552;Q1;35;37;119;1532;167;117;1,14;41,41;United Kingdom;Western Europe;"Cambridge University Press";"2002-2022";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance; Social Sciences"
118;21100285725;"European Journal of Risk Regulation";journal;"21908249, 1867299X";0,547;Q1;26;44;178;1271;385;177;2,49;28,89;Germany;Western Europe;"Cambridge University Press";"2010-2022";"Law (Q1); Safety Research (Q2)";"Social Sciences"
119;14027;"Psychology, Crime and Law";journal;"14772744, 1068316X";0,545;Q1;66;136;163;9501;364;162;1,70;69,86;United Kingdom;Western Europe;"Routledge";"1994-2022";"Law (Q1); Pathology and Forensic Medicine (Q2); Psychology (miscellaneous) (Q2)";"Medicine; Psychology; Social Sciences"
120;21100788736;"Cambridge Yearbook of European Legal Studies";journal;"20497636, 15288870";0,544;Q1;17;0;31;0;39;30;0,60;0,00;United Kingdom;Western Europe;"Cambridge University Press";"1998, 2000, 2008-2010, 2012-2021";"Law (Q1)";"Social Sciences"
121;145600;"International Journal of Law and Information Technology";journal;"09670769, 14643693";0,544;Q1;19;5;42;604;107;42;1,27;120,80;United Kingdom;Western Europe;"Oxford University Press";"1993-2022";"Law (Q1); Library and Information Sciences (Q2)";"Social Sciences"
122;20500195116;"Probation Journal";journal;"17413079, 02645505";0,539;Q1;35;40;99;1727;156;70;1,61;43,18;United Kingdom;Western Europe;"SAGE Publications Ltd";"1929-1949, 1954-1956, 1959, 1962, 1965-2022";"Law (Q1)";"Social Sciences"
123;25671;"Washington Quarterly";journal;"15309177, 0163660X";0,534;Q1;51;38;118;0;206;118;1,75;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1978-2022";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q2)";"Social Sciences"
124;18053;"New York University Law Review";journal;"00287881";0,531;Q1;57;33;120;135;133;113;0,66;4,09;United States;Northern America;"New York University School of Law";"1973-1976, 1979, 1985, 1987, 1991-1994, 1996-1999, 2001-2022";"Law (Q1)";"Social Sciences"
125;12100156325;"Journal of Intervention and Statebuilding";journal;"17502977, 17502985";0,526;Q1;21;36;108;2536;210;95;2,12;70,44;United Kingdom;Western Europe;"Routledge";"2014-2022";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
126;21100898700;"Journal of Human Trafficking";journal;"23322705, 23322713";0,520;Q1;18;64;120;3600;248;113;2,05;56,25;United States;Northern America;"Taylor and Francis Ltd.";"2015-2022";"Anthropology (Q1); Demography (Q1); Law (Q1); Sociology and Political Science (Q2); Transportation (Q3)";"Social Sciences"
127;5100154502;"Journal of Forensic and Legal Medicine";journal;"1752928X";0,516;Q1;54;107;414;3999;717;385;1,52;37,37;United Kingdom;Western Europe;"Churchill Livingstone";"2007-2022";"Law (Q1); Medicine (miscellaneous) (Q2); Pathology and Forensic Medicine (Q2)";"Medicine; Social Sciences"
128;16269;"Journal of Legal Studies";journal;"15375366, 00472530";0,511;Q1;64;16;59;811;49;58;0,70;50,69;United States;Northern America;"University of Chicago";"1983, 1985, 1996-2022";"Law (Q1)";"Social Sciences"
129;22068;"Vanderbilt Law Review";journal;"00422533";0,507;Q1;50;12;114;1602;114;114;0,99;133,50;United States;Northern America;"Vanderbilt Law Review";"1973-1976, 1978-1979, 1986-1987, 1989-1990, 1992-1993, 1995-2022";"Law (Q1)";"Social Sciences"
130;19900188955;"PoLAR: Political and Legal Anthropology Review";journal;"10816976, 15552934";0,506;Q1;31;25;80;733;73;72;0,64;29,32;Germany;Western Europe;"Wiley - VCH Verlag GmbH &amp; CO. KGaA";"1973-1974, 1977-2022";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
131;29868;"California Law Review";journal;"00081221";0,503;Q1;61;34;138;9174;209;137;1,08;269,82;United States;Northern America;"California Law Review";"1973-1979, 1982-1983, 1986-1988, 1990-1992, 1994, 1996-2022";"Law (Q1)";"Social Sciences"
132;39526;"IIC International Review of Intellectual Property and Competition Law";journal;"00189855, 21950237";0,500;Q1;20;50;146;1832;130;111;0,73;36,64;Germany;Western Europe;"Springer International Publishing AG";"1982, 1989, 1991, 1994-2022";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
133;5600156029;"Journal of Legislative Studies, The";journal;"13572334, 17439337";0,500;Q1;41;53;107;2737;101;102;0,82;51,64;United Kingdom;Western Europe;"Routledge";"1995-2022";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
134;5700162015;"Public Integrity";journal;"15580989, 10999922";0,496;Q1;25;102;147;6260;250;129;1,44;61,37;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000-2022";"Law (Q1); Philosophy (Q1); Business and International Management (Q2); Public Administration (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
135;17534;"Social Justice Research";journal;"15736725, 08857466";0,492;Q1;62;22;57;1413;122;57;2,53;64,23;United States;Northern America;"Springer New York";"1987-1990, 1992-2022";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
136;5600153350;"International Review of Victimology";journal;"02697580";0,487;Q1;31;34;57;2347;127;57;2,16;69,03;United States;Northern America;"SAGE Publications Inc.";"1990-2010, 2012-2022";"Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
137;22830;"Canadian Journal of Criminology and Criminal Justice";journal;"17077753, 19110219";0,483;Q1;43;22;48;1320;79;47;1,03;60,00;Canada;Northern America;"University of Toronto Press";"2003-2022";"Law (Q1); Social Sciences (miscellaneous) (Q2)";"Social Sciences"
138;19600166406;"European Business Organization Law Review";journal;"17416205, 15667529";0,482;Q1;24;35;88;2778;201;83;2,31;79,37;Switzerland;Western Europe;"Springer International Publishing AG";"2000-2022";"Law (Q1); Political Science and International Relations (Q1); Business and International Management (Q2)";"Business, Management and Accounting; Social Sciences"
139;5000155401;"Journal of Disability Policy Studies";journal;"10442073";0,474;Q1;40;50;82;2137;151;80;1,79;42,74;United States;Northern America;"SAGE Publications Inc.";"1990-2022";"Law (Q1); Health (social science) (Q2)";"Social Sciences"
140;5800207391;"Journal of Adult Protection, The";journal;"14668203";0,464;Q1;19;22;100;877;127;84;1,23;39,86;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1999-2022";"Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
141;17800156703;"Journal of Empirical Research on Human Research Ethics";journal;"15562646, 15562654";0,464;Q1;35;52;164;2250;269;137;1,76;43,27;United States;Northern America;"SAGE Publications Inc.";"2009-2022";"Law (Q1); Communication (Q2); Education (Q2); Medicine (miscellaneous) (Q3); Social Psychology (Q3)";"Medicine; Psychology; Social Sciences"
142;21100970270;"Current Issues in Criminal Justice";journal;"10345329, 22069542";0,461;Q1;8;23;97;1332;171;91;2,00;57,91;United Kingdom;Western Europe;"Routledge";"2019-2022";"Law (Q1)";"Social Sciences"
143;21101064914;"Chinese Journal of Environmental Law";journal;"24686042, 24686034";0,457;Q1;7;17;26;192;27;21;0,58;11,29;Netherlands;Western Europe;"Brill Academic Publishers";"2017-2022";"Law (Q1); Management, Monitoring, Policy and Law (Q3)";"Environmental Science; Social Sciences"
144;145568;"European Journal on Criminal Policy and Research";journal;"09281371";0,457;Q1;37;52;93;3101;215;85;2,00;59,63;Netherlands;Western Europe;"Springer Netherlands";"1993-2001, 2004-2022";"Law (Q1)";"Social Sciences"
145;21100937015;"Arctic Review on Law and Politics";journal;"23874562";0,454;Q1;7;21;42;1292;73;36;1,72;61,52;Norway;Western Europe;"Nordic Open Scholarly Publishing (NOASP)";"2019-2022";"Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
146;21100220394;"Climate Law";journal;"18786553, 18786561";0,454;Q1;22;4;40;168;44;39;0,50;42,00;Netherlands;Western Europe;"Brill Academic Publishers";"2010-2012, 2014-2022";"Law (Q1); Environmental Science (miscellaneous) (Q2); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Energy; Environmental Science; Social Sciences"
147;144927;"Child Abuse Review";journal;"09529136";0,453;Q1;48;66;140;2104;243;111;1,64;31,88;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1992-2022";"Law (Q1); Pediatrics, Perinatology and Child Health (Q2); Social Work (Q3)";"Medicine; Social Sciences"
148;5800154205;"International Journal of Comparative and Applied Criminal Justice";journal;"21576475, 01924036";0,453;Q1;16;46;83;3238;144;79;1,43;70,39;United States;Northern America;"Routledge";"1977-1995, 2014-2022";"Law (Q1); Sociology and Political Science (Q2); Social Psychology (Q3)";"Psychology; Social Sciences"
149;21100855986;"Revista de Investigacoes Constitucionais";journal;"23595639";0,453;Q1;10;26;94;1101;43;84;0,46;42,35;Brazil;Latin America;"Universidade Federal do Parana";"2014-2022";"Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
150;21100841760;"Howard Journal of Crime and Justice";journal;"20591101, 20591098";0,451;Q1;13;35;94;2241;127;90;1,14;64,03;United States;Northern America;"John Wiley &amp; Sons Inc.";"2016-2022";"Law (Q1)";"Social Sciences"
151;21101042195;"International Journal of Police Science and Management";journal;"14781603, 14613557";0,448;Q1;29;35;92;2150;162;91;1,63;61,43;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2022";"Law (Q1)";"Social Sciences"
152;25277;"Contemporary Drug Problems";journal;"00914509";0,447;Q1;18;31;62;2125;129;60;2,15;68,55;United States;Northern America;"SAGE Publications Inc.";"1973-1981, 1994, 2014-2022";"Law (Q1); Health (social science) (Q2); Health Policy (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine; Social Sciences"
153;23369;"Journal of Environmental Law";journal;"1464374X, 09528873";0,447;Q1;34;20;93;833;111;90;1,09;41,65;United Kingdom;Western Europe;"Oxford University Press";"1989-2022";"Law (Q1); Management, Monitoring, Policy and Law (Q3)";"Environmental Science; Social Sciences"
154;18778;"Violence and Victims";journal;"08866708";0,447;Q1;94;38;149;2244;250;148;1,33;59,05;United States;Northern America;"Springer Publishing Company";"1986-2022";"Law (Q1); Health (social science) (Q2); Pathology and Forensic Medicine (Q2); Medicine (miscellaneous) (Q3)";"Medicine; Social Sciences"
155;21101060255;"Novum Jus";journal;"16926013, 25008692";0,446;Q1;3;44;21;1714;26;17;1,24;38,95;Colombia;Latin America;"Universidad Catolica de Colombia";"2021-2022";"Law (Q1); Sociology and Political Science (Q2)";"Social Sciences"
156;19700173116;"Journal of Children's Services";journal;"17466660";0,445;Q1;24;17;78;968;117;74;1,50;56,94;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2006-2022";"Law (Q1); Education (Q2); Health (social science) (Q2); Sociology and Political Science (Q2); Developmental and Educational Psychology (Q3)";"Psychology; Social Sciences"
157;21100895625;"Yearbook of European Law";journal;"20450044, 02633264";0,445;Q1;6;0;40;0;51;40;1,25;0,00;United Kingdom;Western Europe;"Oxford University Press";"2018-2020";"Law (Q1); Political Science and International Relations (Q2)";"Social Sciences"
