Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
109;21629;"University of Chicago Law Review";journal;"00419494";0,582;Q1;61;0;84;0;141;84;1,30;0,00;United States;Northern America;"University of Chicago Law School";"1977-1978, 1986, 1991-1992, 1995-2020";"Law (Q1)"
110;24359;"Women's Studies International Forum";journal;"02775395";0,579;Q1;63;63;254;3667;567;250;1,78;58,21;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2021";"Law (Q1); Sociology and Political Science (Q1); Development (Q2); Education (Q2)"
111;19600166406;"European Business Organization Law Review";journal;"17416205, 15667529";0,578;Q1;22;28;95;2146;193;91;2,06;76,64;Switzerland;Western Europe;"Springer International Publishing AG";"2000-2021";"Law (Q1); Political Science and International Relations (Q1); Business and International Management (Q2)"
112;145595;"American Law and Economics Review";journal;"14657260, 14657252";0,576;Q1;34;6;38;244;31;38;0,80;40,67;United Kingdom;Western Europe;"Oxford University Press";"2005-2021";"Law (Q1); Finance (Q2)"
113;13143;"Columbia Law Review";journal;"00101958";0,574;Q1;72;46;160;496;203;134;1,34;10,78;United States;Northern America;"Columbia Law Review Association";"1973-1981, 1984, 1987-1988, 1990, 1992-2021";"Law (Q1)"
114;26842;"Journal of World Trade";journal;"10116702";0,572;Q1;34;41;127;500;95;127;0,65;12,20;Netherlands;Western Europe;"Kluwer Law International";"1996-2021";"Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2)"
115;130084;"Journal of Contemporary Criminal Justice";journal;"10439862, 15525406";0,566;Q1;51;33;85;1566;140;73;1,73;47,45;United States;Northern America;"SAGE Publications Inc.";"1978-1981, 1983-1984, 1987-2021";"Law (Q1)"
116;145598;"European Journal of International Law";journal;"09385428, 14643596";0,565;Q1;63;55;162;2854;185;150;0,81;51,89;United Kingdom;Western Europe;"Oxford University Press";"2005-2021";"Law (Q1); Political Science and International Relations (Q1)"
117;21101021456;"Revista de Pensamiento Estrategico y Seguridad CISDE";journal;"25298763";0,562;Q1;4;7;12;305;20;11;1,67;43,57;Spain;Western Europe;"United Academic Journals (UA Journals)";"2020-2021";"History (Q1); Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1); Safety Research (Q2)"
118;5700164344;"Youth Justice";journal;"14732254";0,557;Q1;29;29;57;1724;98;49;1,33;59,45;United States;Northern America;"SAGE Publications Inc.";"2001-2021";"Law (Q1); Developmental and Educational Psychology (Q2)"
119;100147033;"Journal of Competition Law and Economics";journal;"17446422, 17446414";0,556;Q1;27;22;39;1547;44;39;0,91;70,32;United Kingdom;Western Europe;"Oxford University Press";"2005-2021";"Law (Q1); Economics and Econometrics (Q2)"
120;4700152463;"International Journal of Constitutional Law";journal;"14742659, 14742640";0,555;Q1;37;69;197;3730;188;184;0,96;54,06;United Kingdom;Western Europe;"Oxford University Press";"2005-2021";"Law (Q1)"
121;145600;"International Journal of Law and Information Technology";journal;"09670769, 14643693";0,543;Q1;18;4;40;564;96;40;2,85;141,00;United Kingdom;Western Europe;"Oxford University Press";"1993-2021";"Law (Q1); Library and Information Sciences (Q1)"
122;12100155619;"Journal of Police and Criminal Psychology";journal;"19366469, 08820783";0,543;Q1;27;94;142;5238;294;140;1,81;55,72;Germany;Western Europe;"Springer Verlag";"1985-2021";"Law (Q1); Applied Psychology (Q2)"
123;14027;"Psychology, Crime and Law";journal;"14772744, 1068316X";0,541;Q1;62;98;172;6761;358;169;2,13;68,99;United Kingdom;Western Europe;"Routledge";"1994-2021";"Law (Q1); Pathology and Forensic Medicine (Q2); Psychology (miscellaneous) (Q2)"
124;21681;"University of Pennsylvania Law Review";journal;"19428537, 00419907";0,537;Q1;64;0;107;0;95;95;0,81;0,00;United States;Northern America;"University of Pennsylvania Law School";"1974, 1977-1978, 1986, 1989-1990, 1992-1993, 1996-2020";"Law (Q1)"
125;21100285725;"European Journal of Risk Regulation";journal;"21908249, 1867299X";0,536;Q1;21;66;167;1345;319;165;2,33;20,38;Germany;Western Europe;"Cambridge University Press";"2010-2021";"Law (Q1); Safety Research (Q2)"
126;100147035;"Criminal Justice Review";journal;"15563839, 07340168";0,530;Q1;38;39;81;2741;167;76;2,25;70,28;United States;Northern America;"SAGE Publications Inc.";"1976-2021";"Law (Q1)"
127;145568;"European Journal on Criminal Policy and Research";journal;"09281371";0,530;Q1;34;49;92;2935;218;84;2,00;59,90;Netherlands;Western Europe;"Springer Netherlands";"1993-2001, 2004-2021";"Law (Q1)"
128;5000155401;"Journal of Disability Policy Studies";journal;"10442073";0,528;Q1;37;47;72;1992;104;71;1,36;42,38;United States;Northern America;"SAGE Publications Inc.";"1990-2021";"Law (Q1); Health (social science) (Q2)"
129;22222;"Parliamentary Affairs";journal;"14602482, 00312290";0,527;Q1;47;39;179;1566;304;178;1,33;40,15;United Kingdom;Western Europe;"Oxford University Press";"1947-2021";"Law (Q1); Sociology and Political Science (Q2)"
130;21100256989;"Theory and Practice of Legislation";journal;"20508859, 20508840";0,524;Q1;11;22;46;0;83;40;2,41;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2021";"Law (Q1)"
131;5700169004;"Security Journal";journal;"17434645, 09551662";0,521;Q1;25;81;101;5048;223;97;2,07;62,32;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1995, 2000, 2009-2021";"Law (Q1); Safety Research (Q2); Strategy and Management (Q2)"
132;5800169269;"Chinese Journal of International Law";journal;"15401650, 17469937";0,520;Q1;19;30;89;2222;57;73;0,56;74,07;United Kingdom;Western Europe;"Oxford University Press";"2008-2021";"Law (Q1); Political Science and International Relations (Q1)"
133;17504;"Social and Legal Studies";journal;"09646639, 14617390";0,509;Q1;44;49;111;3441;192;110;1,67;70,22;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2021";"Law (Q1); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
134;21101055871;"Bulletin for International Taxation";journal;"18195490, 23529202";0,507;Q1;2;87;66;571;25;57;0,38;6,56;Netherlands;Western Europe;"International Bureau of Fiscal Documentation (IBFD)";"2020-2021";"Law (Q1); Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)"
135;18778;"Violence and Victims";journal;"08866708";0,507;Q1;90;44;171;2787;323;170;1,37;63,34;United States;Northern America;"Springer Publishing Company";"1986-2021";"Law (Q1); Health (social science) (Q2); Medicine (miscellaneous) (Q2); Pathology and Forensic Medicine (Q2)"
136;23369;"Journal of Environmental Law";journal;"1464374X, 09528873";0,506;Q1;32;35;67;3190;113;67;1,30;91,14;United Kingdom;Western Europe;"Oxford University Press";"1989-2021";"Law (Q1); Management, Monitoring, Policy and Law (Q2)"
137;5800154205;"International Journal of Comparative and Applied Criminal Justice";journal;"21576475, 01924036";0,505;Q1;14;50;76;3033;125;71;1,79;60,66;United States;Northern America;"Routledge";"1977-1995, 2014-2021";"Law (Q1); Social Psychology (Q2); Sociology and Political Science (Q2)"
138;21100886395;"Journal of International Dispute Settlement";journal;"20403585, 20403593";0,504;Q1;19;21;97;621;59;96;0,54;29,57;United Kingdom;Western Europe;"Oxford University Press";"2010-2021";"Law (Q1); Political Science and International Relations (Q1)"
139;21100236217;"Review of European, Comparative and International Environmental Law";journal;"20500386, 20500394";0,499;Q1;21;41;109;213;197;101;1,79;5,20;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2013-2021";"Law (Q1); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2)"
140;21100286942;"Hague Journal on the Rule of Law";journal;"18764053, 18764045";0,495;Q1;18;16;85;822;96;70;1,04;51,38;Switzerland;Western Europe;"Springer International Publishing AG";"2009-2021";"Law (Q1)"
141;4700152718;"Adoption Quarterly";journal;"10926755";0,491;Q1;34;25;45;1443;61;44;1,38;57,72;United States;Northern America;"Routledge";"1997-2021";"Law (Q1); Demography (Q2); Sociology and Political Science (Q2)"
142;25817;"Journal of Divorce and Remarriage";journal;"10502556, 15404811";0,491;Q1;33;35;110;1733;151;109;1,00;49,51;United States;Northern America;"Routledge";"1990-2021";"Law (Q1); Demography (Q2)"
143;17585;"Law and Social Inquiry";journal;"1545696X, 08976546";0,487;Q1;50;76;163;7320;212;163;1,08;96,32;United States;Northern America;"Wiley-Blackwell";"1976-2021";"Law (Q1); Social Sciences (miscellaneous) (Q2)"
144;110097;"Food and Drug Law Journal";journal;"1064590X";0,485;Q1;22;3;19;387;18;19;0,00;129,00;United States;Northern America;"Food and Drug Law Institute";"1992-2018, 2021";"Law (Q1); Medicine (miscellaneous) (Q3); Pharmacology (Q3); Public Health, Environmental and Occupational Health (Q3)"
145;13600;"Georgetown Law Journal";journal;"00168092";0,485;Q1;51;0;50;0;75;50;1,78;0,00;United States;Northern America;"Georgetown University Law Center";"1973-1974, 1976-1977, 1979, 1981, 1983-1986, 1988, 1992, 1994-2019";"Law (Q1)"
146;16269;"Journal of Legal Studies";journal;"15375366, 00472530";0,483;Q1;63;28;68;1194;55;68;1,06;42,64;United States;Northern America;"University of Chicago";"1983, 1985, 1996-2021";"Law (Q1)"
147;21100199539;"Politica Criminal";journal;"07183399";0,483;Q1;8;44;93;3863;62;93;0,65;87,80;Chile;Latin America;"Centro de Estudios de Derecho Penal de la Universidad de Talca";"2009-2021";"Law (Q1); Sociology and Political Science (Q2)"
148;5700162015;"Public Integrity";journal;"15580989, 10999922";0,483;Q1;21;73;154;3098;247;125;1,32;42,44;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000-2021";"Law (Q1); Philosophy (Q1); Business and International Management (Q2); Public Administration (Q2); Sociology and Political Science (Q2)"
149;200147134;"First Monday";journal;"13960466";0,477;Q1;74;0;121;0;196;121;1,19;0,00;United States;Northern America;"First Monday";"1996-2020";"Law (Q1); Computer Networks and Communications (Q2); Human-Computer Interaction (Q3)"
150;16151;"Medical Law Review";journal;"14643790, 09670742";0,466;Q1;29;34;100;2929;135;87;1,25;86,15;United Kingdom;Western Europe;"Oxford University Press";"1993-2021";"Law (Q1); Medicine (miscellaneous) (Q3)"
151;5600155459;"Journal of Legal Pluralism and Unofficial Law";journal;"07329113";0,462;Q1;23;41;59;1592;77;50;0,97;38,83;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1969-1990, 1992-2013, 2015-2021";"Law (Q1)"
152;17800156703;"Journal of Empirical Research on Human Research Ethics";journal;"15562646, 15562654";0,460;Q1;32;52;173;2290;294;143;1,50;44,04;United States;Northern America;"SAGE Publications Inc.";"2009-2021";"Law (Q1); Communication (Q2); Education (Q2); Medicine (miscellaneous) (Q3); Social Psychology (Q3)"
153;21100872124;"Journal of Property, Planning and Environmental Law";journal;"25149407";0,459;Q1;12;15;49;739;64;43;1,59;49,27;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2021";"Law (Q1); Management, Monitoring, Policy and Law (Q2); Urban Studies (Q2)"
154;5100154604;"Ius et Praxis";journal;"07180012, 07172877";0,458;Q1;9;47;161;2356;63;153;0,38;50,13;Chile;Latin America;"Universidad de Talca";"2001-2002, 2006-2021";"Law (Q1)"
155;5100154502;"Journal of Forensic and Legal Medicine";journal;"1752928X";0,458;Q1;51;135;441;4554;769;414;1,76;33,73;United Kingdom;Western Europe;"Churchill Livingstone";"2007-2021";"Law (Q1); Pathology and Forensic Medicine (Q2); Medicine (miscellaneous) (Q3)"
156;19637;"Crime, Law and Social Change";journal;"15730751, 09254994";0,452;Q1;49;67;190;4070;365;184;1,61;60,75;Netherlands;Western Europe;"Springer Netherlands";"1991-2021";"Law (Q1); Pathology and Forensic Medicine (Q2); Social Sciences (miscellaneous) (Q2)"
157;39526;"IIC International Review of Intellectual Property and Competition Law";journal;"00189855, 21950237";0,449;Q1;19;57;136;1944;128;98;1,09;34,11;Germany;Western Europe;"Springer International Publishing AG";"1982, 1989, 1991, 1994-2021";"Law (Q1); Political Science and International Relations (Q2)"
158;21100942111;"Journal of Law and Courts";journal;"21646589, 21646570";0,448;Q1;15;18;45;1129;41;44;0,93;62,72;United States;Northern America;"University of Chicago Press";"2013-2021";"Law (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
159;19900188955;"PoLAR: Political and Legal Anthropology Review";journal;"10816976, 15552934";0,445;Q1;29;32;81;858;82;72;0,92;26,81;Germany;Western Europe;"Wiley - VCH Verlag GmbH &amp; CO. KGaA";"1973-1974, 1977-2021";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q2)"
160;11700154202;"Revista Chilena de Derecho";journal;"07183437, 07160747";0,445;Q1;11;2;113;40;45;107;0,33;20,00;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2007-2021";"Law (Q1)"
161;21100898700;"Journal of Human Trafficking";journal;"23322705, 23322713";0,439;Q1;15;64;110;3422;156;107;1,36;53,47;United States;Northern America;"Taylor and Francis Ltd.";"2015-2021";"Anthropology (Q1); Law (Q1); Demography (Q2); Sociology and Political Science (Q2); Transportation (Q3)"
162;5600156029;"Journal of Legislative Studies, The";journal;"13572334, 17439337";0,437;Q1;39;58;98;2906;138;93;1,12;50,10;United Kingdom;Western Europe;"Routledge";"1995-2021";"Law (Q1); Political Science and International Relations (Q2)"
163;22132;"Virginia Law Review";journal;"00426601";0,436;Q1;58;25;68;7051;56;68;0,97;282,04;United States;Northern America;"University of Virginia";"1967, 1974-1978, 1980, 1983-1985, 1987, 1990, 1992, 1995-2020";"Law (Q1)"
164;21100824892;"Law, Innovation and Technology";journal;"1757997X, 17579961";0,433;Q1;17;20;39;0;91;38;1,44;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2021";"Law (Q1); Computer Science (miscellaneous) (Q2); Artificial Intelligence (Q3); Biotechnology (Q3); Computer Science Applications (Q3)"
165;25277;"Contemporary Drug Problems";journal;"00914509";0,431;Q1;16;25;65;1718;131;63;1,55;68,72;United States;Northern America;"SAGE Publications Inc.";"1973-1981, 1994, 2014-2021";"Law (Q1); Health (social science) (Q2); Health Policy (Q3); Public Health, Environmental and Occupational Health (Q3)"
166;4700152741;"Journal of Ethnicity in Criminal Justice";journal;"15377938";0,430;Q1;19;16;52;916;61;49;1,27;57,25;United States;Northern America;"Routledge";"2003-2021";"Anthropology (Q1); Law (Q1)"
167;21100895625;"Yearbook of European Law";journal;"20450044, 02633264";0,427;Q1;4;0;45;0;34;45;0,77;0,00;United Kingdom;Western Europe;"Oxford University Press";"2018-2019";"Law (Q1); Political Science and International Relations (Q2)"
168;5700168544;"Adoption &amp; Fostering";journal;"1740469X, 03085759";0,426;Q1;27;33;108;1027;101;73;0,72;31,12;United Kingdom;Western Europe;"SAGE Publications Inc.";"1996-2021";"Law (Q1); Health (social science) (Q2); Sociology and Political Science (Q2); Human Factors and Ergonomics (Q3); Social Psychology (Q3)"
169;16323;"Theoretical Inquiries in Law";journal;"15653404";0,423;Q1;28;43;73;1585;75;68;1,44;36,86;Germany;Western Europe;"Walter de Gruyter GmbH";"2004-2021";"Law (Q1)"
170;19900192514;"Dynamics of Asymmetric Conflict: Pathways toward Terrorism and Genocide";journal;"17467594, 17467586";0,422;Q1;13;27;51;1417;56;42;0,85;52,48;United Kingdom;Western Europe;"Routledge";"2010-2021";"Cultural Studies (Q1); Law (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)"
171;17534;"Social Justice Research";journal;"15736725, 08857466";0,422;Q1;58;18;56;1285;108;56;1,77;71,39;United States;Northern America;"Springer New York";"1987-1990, 1992-2021";"Anthropology (Q1); Law (Q1); Sociology and Political Science (Q2)"
172;28955;"Justice System Journal";journal;"0098261X";0,421;Q1;22;31;73;1617;49;57;0,55;52,16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988, 1990-1991, 1993-2021";"Law (Q1)"
173;29868;"California Law Review";journal;"00081221";0,420;Q1;60;29;141;4209;145;135;1,17;145,14;United States;Northern America;"California Law Review";"1973-1979, 1982-1983, 1986-1988, 1990-1992, 1994, 1996-2021";"Law (Q1)"
174;130127;"Human Rights Law Review";journal;"14617781, 17441021";0,420;Q1;36;38;90;4000;92;90;0,88;105,26;United Kingdom;Western Europe;"Oxford University Press";"2005-2021";"Law (Q1); Sociology and Political Science (Q2)"
175;15662;"International Review of Law and Economics";journal;"01448188";0,420;Q1;43;58;132;3057;151;132;1,12;52,71;United States;Northern America;"Elsevier Inc.";"1981-2021";"Law (Q1); Finance (Q2); Economics and Econometrics (Q3)"
176;21100840031;"Critical Military Studies";journal;"23337486, 23337494";0,419;Q1;17;47;88;2638;79;78;0,90;56,13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2021";"History (Q1); Law (Q1); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Management Science and Operations Research (Q3)"
177;17400154828;"Psychological Injury and Law";journal;"1938971X, 19389728";0,419;Q1;27;34;85;2125;222;81;3,05;62,50;United States;Northern America;"Springer New York";"2008-2021";"Law (Q1); Ecology (Q2); Psychiatry and Mental Health (Q3)"
178;5700162193;"Leiden Journal of International Law";journal;"09221565, 14789698";0,418;Q1;36;43;138;2823;125;136;1,00;65,65;United Kingdom;Western Europe;"Cambridge University Press";"1988-2021";"Law (Q1); Political Science and International Relations (Q2)"
179;21100885607;"Journal of World Investment and Trade";journal;"16607112, 22119000";0,417;Q1;18;25;247;1730;79;232;0,32;69,20;Netherlands;Western Europe;"Brill Academic Publishers";"2000-2001, 2003-2021";"Law (Q1); Business and International Management (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Political Science and International Relations (Q2)"
